sno   var   func  total   actual  factor  avg    num           file
      node  node  reruns  reruns  graph   iters  soln          name
      size  size                  iters              
---   ---   ---   ---     ---     ---     ---    ---           ---
230   30    10    10      2       8       4      2.31343e+223  6s187_bdd.blif
231   30    10    20      2       8       4      2.31343e+223  6s187_bdd.blif
232   40    1     1       1       4       4      1.77122e+223  6s187_bdd.blif
233   40    1     2       2       8       4      8.85611e+222  6s187_bdd.blif
234   40    1     3       3       12      4      8.85611e+222  6s187_bdd.blif
235   40    1     4       3       12      4      8.85611e+222  6s187_bdd.blif
236   40    1     5       3       12      4      8.85611e+222  6s187_bdd.blif
237   40    1     10      3       12      4      8.85611e+222  6s187_bdd.blif
238   40    1     20      3       12      4      8.85611e+222  6s187_bdd.blif
239   40    5     1       1       4       4      1.77122e+223  6s187_bdd.blif
240   40    5     2       2       8       4      8.85611e+222  6s187_bdd.blif
241   40    5     3       3       12      4      8.85611e+222  6s187_bdd.blif
242   40    5     4       3       12      4      8.85611e+222  6s187_bdd.blif
243   40    5     5       3       12      4      8.85611e+222  6s187_bdd.blif
244   40    5     10      3       12      4      8.85611e+222  6s187_bdd.blif
245   40    5     20      3       12      4      8.85611e+222  6s187_bdd.blif
246   40    10    1       1       4       4      1.77122e+223  6s187_bdd.blif
247   40    10    2       0       4       0      NA            6s187_bdd.blif
248   40    10    3       0       4       0      NA            6s187_bdd.blif
249   40    10    4       0       4       0      NA            6s187_bdd.blif
250   40    10    5       0       4       0      NA            6s187_bdd.blif
251   40    10    10      0       4       0      NA            6s187_bdd.blif
252   40    10    20      0       4       0      NA            6s187_bdd.blif
253   1     1     1       0       0       0      NA            6s280r_bdd.blif
254   1     1     2       0       0       0      NA            6s280r_bdd.blif
255   1     1     3       0       0       0      NA            6s280r_bdd.blif
256   1     1     4       0       0       0      NA            6s280r_bdd.blif
257   1     1     5       0       0       0      NA            6s280r_bdd.blif
258   1     1     10      0       0       0      NA            6s280r_bdd.blif
259   1     1     20      0       0       0      NA            6s280r_bdd.blif
260   1     5     1       0       0       0      NA            6s280r_bdd.blif
261   1     5     2       0       0       0      NA            6s280r_bdd.blif
