Name                                                                  | Status                                              | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time         | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence                  | MUS Status                     | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2017_small-dyn-partition-fixpoint-10                           | MUS timed out                                       | 1124 / 0 / 946      | 1036 / 0 / 946      | 3231 / 0 / 2474      | 2.13 / 0.69 / 0.92     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 0.61 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_AR-fixpoint-10                                            | FactorGraph parsed                                  | 772792 / 0 / 169496 | 717770 / 0 / 169496 | 2493101 / 0 / 275196 | 308.56 / 0.0 / 254.78  | PreProc-ed 0 rounds           |                   |                    |                  |                                 |                                |                                                         |            
QBFEval2018_ltl2dba_C2-8_comp4_REAL.sat                               | MUS timed out                                       | 4715 / 0 / 3238     | 4472 / 0 / 3238     | 13546 / 0 / 7012     | 4.4 / 2.51 / 1.01      | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 0.06 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_stmt44_40_387                                             | MUS timed out                                       | 3326 / 4 / 1898     | 3057 / 4 / 1854     | 11260 / 16 / 4483    | 4.29 / 1.63 / 1.51     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 23.41 sec, ONE         | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_query25_query42_1344n                                     | MUS timed out                                       | 1026 / 0 / 691      | 952 / 0 / 691       | 2427 / 0 / 675       | 1.27 / 0.68 / 0.4      | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 28.59 sec, ONE         | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
Arithmetic_intermediate128                                            | MUS timed out                                       | 1278 / 0 / 511      | 1022 / 0 / 511      | 3700 / 0 / 401       | 6.15 / 3.45 / 1.45     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 102.11 sec, ONE        | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_stmt19_65_95                                              | MUS timed out                                       | 9829 / 67 / 7631    | 9321 / 34 / 7474    | 38279 / 69 / 25757   | 12.99 / 2.62 / 5.86    | PreProc-ed 3 rounds           |                   |                    |                  | 0 iters, 1057.71 sec, ONE       | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_query42_query42_1344n                                     | FG timed out                                        | 10043 / 0 / 6092    | 9863 / 0 / 6092     | 53216 / 0 / 5868     | 13.96 / 2.93 / 7.37    | PreProc-ed 2 rounds           |                   |                    |                  |                                 |                                |                                                         | 1500.0     
QBFEval2017_stmt27_149_224                                            | MUS timed out                                       | 2581 / 0 / 1781     | 2403 / 0 / 1754     | 8330 / 0 / 4878      | 2.61 / 0.94 / 0.97     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 1.91 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_sortnetsort10.AE.stepl.010                                | FG timed out                                        | 10221 / 0 / 2760    | 8331 / 0 / 2760     | 17080 / 0 / 3149     | 3.78 / 1.58 / 1.2      | PreProc-ed 2 rounds           |                   |                    |                  |                                 |                                |                                                         | 1500.0     
QBFEval2017_bobtuint31neg                                             | Preproc Solved, FG skipped.                         | 1417 / 0 / 1417     | 1205 / 0 / 1205     | 4587 / 0 / 4586      | 0.19 / 0.0 / 0.15      | PreProc-ed 1 rounds           |                   |                    |                  |                                 |                                |                                                         |            
QBFEval2018_stmt17_74_78                                              | MUS timed out                                       | 8959 / 67 / 7240    | 8567 / 34 / 7130    | 34745 / 69 / 25360   | 8.99 / 2.57 / 3.61     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 313.69 sec, ONE        | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
Disjunctive_Decomposition_bobtuint12neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped.                         | 1415 / 0 / 1415     | 1203 / 0 / 1203     | 4588 / 0 / 4587      | 0.21 / 0.0 / 0.15      | PreProc-ed 1 rounds           |                   |                    |                  |                                 |                                |                                                         |            
QBFEval2018_stmt28_68_73                                              | MUS timed out                                       | 7654 / 67 / 6296    | 7291 / 34 / 6198    | 29444 / 69 / 22195   | 6.54 / 2.06 / 2.53     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 172.12 sec, ONE        | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_query34_query11_1344n                                     | MUS timed out                                       | 875 / 0 / 601       | 809 / 0 / 601       | 1915 / 0 / 562       | 1.27 / 0.55 / 0.44     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 1.91 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_rankfunc31_unsigned_64                                    | Preproc Solved, FG skipped.                         | 6618 / 0 / 6618     | 6106 / 0 / 6106     | 17273 / 0 / 17272    | 0.5 / 0.0 / 0.42       | PreProc-ed 1 rounds           |                   |                    |                  |                                 |                                |                                                         |            
QBFEval2018_small-synabs-fixpoint-3                                   | MUS timed out                                       | 619 / 0 / 449       | 523 / 0 / 449       | 1785 / 0 / 1224      | 1.08 / 0.29 / 0.55     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 0.16 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_sdlx-fixpoint-5                                           | MUS timed out                                       | 8462 / 0 / 6799     | 8051 / 0 / 6799     | 25141 / 0 / 14810    | 8.76 / 1.97 / 3.53     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 67.1 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_UserServiceImpl                                           | MUS timed out                                       | 4040 / 0 / 2831     | 3953 / 0 / 2831     | 14575 / 0 / 7723     | 4.15 / 1.81 / 1.34     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 416.6 sec, ONE         | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
