TestCase                                                                      | Status     | TimeTaken          
QBFEval2017_driver_b8n.sat.qdimacs                                            | Timed out  | 1812.5333366394043 
QBFEval2018_stmt17_70_82.qdimacs                                              | Timed out  | 1812.4977297782898 
QBFEval2017_query60_query10_1344n.qdimacs                                     | Timed out  | 1813.4182007312775 
QBFEval2018_stmt85_300_399.qdimacs                                            | Timed out  | 1812.4407217502594 
QBFEval2018_oski3ub5i_c0to511.sat.qdimacs                                     | Timed out  | 1814.5990087985992 
QBFEval2018_ctrl.e#1.a#3.E#124.A#48.c#.w#7.s#50.asp.qdimacs                   | Failed     | 0.5771763324737549 
QBFEval2017_ltl2dba_Q4_comp4_REAL.sat.qdimacs                                 | Timed out  | 1825.3455367088318 
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#384.w#6.s#8.asp.qdimacs                    | Failed     | 0.3222975730895996 
QBFEval2017_6s289rb05233_c0to63.sat.qdimacs                                   | Timed out  | 1812.252529144287  
QBFEval2017_rankfunc48_signed_64.qdimacs                                      | Timed out  | 1811.9998741149902 
QBFEval2017_sortnetsort7.AE.stepl.009.qdimacs                                 | Timed out  | 1811.6327741146088 
QBFEval2018_query52_query42_1344n.qdimacs                                     | Timed out  | 1811.676681280136  
QBFEval2018_stmt32_329_378.qdimacs                                            | Timed out  | 1811.4780712127686 
QBFEval2018_stmt23_66_96.qdimacs                                              | Timed out  | 1812.0923581123352 
QBFEval2018_query10_query45_1344n.qdimacs                                     | Timed out  | 1813.296021938324  
QBFEval2017_sortnetsort8.AE.stepl.006.qdimacs                                 | Timed out  | 1812.075546503067  
Arithmetic_equalization512.qdimacs                                            | Timed out  | 1813.9966826438904 
QBFEval2018_cycle_sched_4_7_1.sat.qdimacs                                     | Timed out  | 1827.7517082691193 
QBFEval2017_stmt23_92_96.qdimacs                                              | Timed out  | 1813.7502791881561 
Disjunctive_Decomposition_kenflashp01_all_bit_differing_from_cycle.qdimacs    | Timed out  | 1811.8719320297241 
QBFEval2018_reachqu_query42_1344n.qdimacs                                     | Timed out  | 1812.7275092601776 
QBFEval2018_rankfunc48_signed_64.qdimacs                                      | Timed out  | 1811.6919283866882 
Disjunctive_Decomposition_bobtuint11neg_all_bit_differing_from_cycle.qdimacs  | Successful | 154.2078890800476  
QBFEval2018_cache-coherence-2-fixpoint-5.qdimacs                              | Timed out  | 1811.7373542785645 
QBFEval2017_query50_query06_1344n.qdimacs                                     | Timed out  | 1811.2802937030792 
QBFEval2018_ethernet-fixpoint-2.qdimacs                                       | Successful | 1670.4057273864746 
QBFEval2018_itc-b13-fixpoint-2.qdimacs                                        | Successful | 109.54517984390259 
QBFEval2017_bs128y.sat.qdimacs                                                | Successful | 1376.394216299057  
QBFEval2018_itc-b13-fixpoint-6.qdimacs                                        | Timed out  | 1811.248901605606  
QBFEval2017_small-bug1-fixpoint-10.qdimacs                                    | Successful | 7.462384462356567  
Disjunctive_Decomposition_bobsynth06neg_all_bit_differing_from_cycle.qdimacs  | Timed out  | 1812.0715155601501 
QBFEval2017_LoginService.qdimacs                                              | Timed out  | 1812.5822758674622 
QBFEval2018_stmt21_84_364.qdimacs                                             | Timed out  | 1811.345605134964  
