Total number of cases: 906
Finished cases       : 906
Timed out cases      : 774
 |                                                             Case name | Pass/Fail | Preparation Time | Solve time | 
 |  Disjunctive_Decomposition_bobtuint26neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint27neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1201.0 | 
 |  Disjunctive_Decomposition_bobtuint28neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint29neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint30neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint31neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuintorneg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |     Disjunctive_Decomposition_eijkbs1512_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |     Disjunctive_Decomposition_eijkbs3330_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |     Disjunctive_Decomposition_eijkbs4863_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |    Disjunctive_Decomposition_kenflashp01_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |    Disjunctive_Decomposition_kenflashp02_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |    Disjunctive_Decomposition_kenflashp04_all_bit_differing_from_cycle |      PASS |              0.0 |       16.0 | 
 |    Disjunctive_Decomposition_kenflashp12_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |       Disjunctive_Decomposition_kenoopp1_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |   Disjunctive_Decomposition_neclaftp2001_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
 |   Disjunctive_Decomposition_neclaftp2002_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
 |   Disjunctive_Decomposition_neclaftp3001_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
 |   Disjunctive_Decomposition_neclaftp4001_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
 |   Disjunctive_Decomposition_neclaftp4002_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_pdtpmsgigamax_all_bit_differing_from_cycle |      PASS |              0.0 |       15.0 | 
