Name                                                                  | Status                                             | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time          | PreProc Status                  | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2017_ConcreteActivityService                                   | Preproc finished unsolved, FG skipped, MUS skipped | 4837 / 0 / 3313     | 4766 / 0 / 3313     | 17641 / 0 / 8864     | 3.92 / 0.0 / 2.9        | PreProc-ed 4 rounds             |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2017_rankfunc54_unsigned_64                                    | Preproc Solved, FG skipped.                        | 5266 / 0 / 5266     | 4754 / 0 / 4754     | 13886 / 0 / 13885    | 0.65 / 0.0 / 0.62       | PreProc-ed 1 rounds             |                   |                    |                  |                |            |                                                         |            
Disjunctive_Decomposition_bobsynth07neg_all_bit_differing_from_cycle  | Preproc finished unsolved, FG skipped, MUS skipped | 7656 / 0 / 1611     | 4747 / 0 / 1611     | 22940 / 0 / 2539     | 7.17 / 0.0 / 5.53       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.17       
Arithmetic_intermediate256                                            | Preproc finished unsolved, FG skipped, MUS skipped | 2558 / 0 / 1023     | 2046 / 0 / 1023     | 7412 / 0 / 785       | 2.32 / 0.0 / 1.67       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2017_stmt17_63_78                                              | Preproc finished unsolved, FG skipped, MUS skipped | 7654 / 0 / 6966     | 7262 / 0 / 6801     | 29444 / 0 / 26656    | 13.8 / 0.0 / 9.74       | PreProc-ed 15 rounds            |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2017_genbuf8b4n.sat                                            | Preproc finished unsolved, FG skipped, MUS skipped | 2739 / 0 / 1262     | 2680 / 0 / 1262     | 20261 / 0 / 2934     | 6.79 / 0.0 / 4.88       | PreProc-ed 5 rounds             |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_Q_2-3_v-80-100_r-13.2                                     | Preproc finished unsolved, FG skipped, MUS skipped | 180 / 0 / 0         | 100 / 0 / 0         | 1300 / 0 / 0         | 0.19 / 0.0 / 0.18       | PreProc-ed 1 rounds             |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_rankfunc31_unsigned_64                                    | Preproc Solved, FG skipped.                        | 6618 / 0 / 6618     | 6106 / 0 / 6106     | 17273 / 0 / 17272    | 0.41 / 0.0 / 0.38       | PreProc-ed 1 rounds             |                   |                    |                  |                |            |                                                         |            
QBFEval2018_stmt23_66_67                                              | Preproc finished unsolved, FG skipped, MUS skipped | 6349 / 0 / 5948     | 6044 / 0 / 5795     | 24143 / 0 / 22742    | 6.52 / 0.0 / 4.47       | PreProc-ed 10 rounds            |                   |                    |                  |                |            |                                                         | 0.11       
Arithmetic_floor64                                                    | Preproc Solved, FG skipped.                        | 565 / 0 / 565       | 437 / 0 / 437       | 1548 / 0 / 1547      | 0.22 / 0.0 / 0.18       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         |            
