Name                                                                  | Status                      | T / B / K Vars       | T / B / K QVars      | T / B / K Clauses       | T / B / K Time            | PreProc Status                 | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence                | MUS Status                   | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2017_query27_query42_1344n                                     | FG timed out                | 730 / 17 / 382       | 656 / 17 / 382       | 1987 / 17 / 374         | 1.41 / 0.97 / 0.37        | PreProc-ed 2 rounds            | 0.03 sec          | 24 / 5 / 9.40917   | 0.04 sec         |                               |                              |                                                         | 10.0       
QBFEval2017_rankfunc38_unsigned_64                                    | Preproc Solved, FG skipped. | 645 / 2 / 643        | 517 / 2 / 515        | 1605 / 2 / 1602         | 4.5 / 2.94 / 1.43         | PreProc-ed 16 rounds           |                   |                    |                  |                               |                              |                                                         |            
QBFEval2017_stmt17_94_98                                              | FG timed out                | 13309 / 138 / 9953   | 12772 / 103 / 9786   | 52415 / 904 / 32726     | 35.76 / 19.33 / 13.59     | PreProc-ed 7 rounds            | 1.39 sec          |                    |                  |                               |                              |                                                         | 10.0       
Disjunctive_Decomposition_bobtuint16neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped. | 1415 / 4 / 1411      | 1203 / 4 / 1199      | 4588 / 10 / 4577        | 1.13 / 0.92 / 0.14        | PreProc-ed 1 rounds            |                   |                    |                  |                               |                              |                                                         |            
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#288.w#6.s#2.asp                    | FG timed out                | 7011 / 1 / 5510      | 6971 / 1 / 5510      | 20734 / 3 / 11232       | 3.21 / 1.76 / 1.01        | PreProc-ed 2 rounds            | 0.38 sec          |                    |                  |                               |                              |                                                         | 10.0       
Disjunctive_Decomposition_bobsynthetic_all_bit_differing_from_cycle   | FG timed out                | 2818 / 4 / 1225      | 2758 / 4 / 1225      | 10130 / 10 / 2031       | 5.19 / 3.71 / 1.18        | PreProc-ed 2 rounds            | 0.33 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_small-pipeline-fixpoint-9                                 | FG timed out                | 16535 / 0 / 9552     | 14062 / 0 / 9552     | 47167 / 0 / 21644       | 60.25 / 31.5 / 23.62      | PreProc-ed 11 rounds           | 3.04 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2018_bobtuint31neg                                             | Preproc Solved, FG skipped. | 1417 / 4 / 1413      | 1205 / 4 / 1201      | 4587 / 10 / 4576        | 0.69 / 0.55 / 0.08        | PreProc-ed 1 rounds            |                   |                    |                  |                               |                              |                                                         |            
QBFEval2018_cache-coherence-2-fixpoint-2                              | FG timed out                | 3685 / 22 / 2450     | 3271 / 22 / 2450     | 10648 / 48 / 5791       | 13.27 / 9.11 / 3.47       | PreProc-ed 8 rounds            | 0.13 sec          |                    |                  |                               |                              |                                                         | 10.0       
Arithmetic_max64                                                      | MUS timed out               | 417 / 9 / 122        | 289 / 9 / 122        | 1222 / 27 / 295         | 1.07 / 0.68 / 0.34        | PreProc-ed 2 rounds            | 0.02 sec          | 16 / 4 / 3.88635   | 0.03 sec         | 5 iters, 3.42 sec, ONE        | MUS TimedOut after 0 rounds  |                                                         | 10.0       
QBFEval2017_query55_query42_1344n                                     | FG timed out                | 1146 / 17 / 762      | 1072 / 17 / 762      | 2663 / 17 / 779         | 2.31 / 1.58 / 0.6         | PreProc-ed 3 rounds            | 0.04 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_genbuf12b4y.sat                                           | FG timed out                | 2939 / 1 / 821       | 2864 / 1 / 821       | 24993 / 3 / 1435        | 10.04 / 6.3 / 2.91        | PreProc-ed 2 rounds            | 0.8 sec           |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_stmt41_336_385                                            | FG timed out                | 5573 / 9 / 3876      | 5308 / 9 / 3843      | 18872 / 41 / 10662      | 15.79 / 10.18 / 4.32      | PreProc-ed 5 rounds            | 0.38 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_small-swap2-fixpoint-10                                   | FG timed out                | 3128 / 0 / 1910      | 2468 / 0 / 1910      | 9075 / 0 / 6021         | 9.89 / 6.31 / 2.87        | PreProc-ed 7 rounds            | 0.07 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_sortnetsort8.AE.stepl.004                                 | FG timed out                | 2465 / 112 / 608     | 2017 / 112 / 608     | 4124 / 112 / 731        | 4.07 / 3.24 / 0.59        | PreProc-ed 2 rounds            | 0.5 sec           |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#384.w#6.s#8.asp                    | FG timed out                | 9315 / 1 / 7453      | 9275 / 1 / 7453      | 27646 / 3 / 15538       | 4.04 / 2.31 / 1.13        | PreProc-ed 2 rounds            | 0.62 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_rankfunc49_signed_64                                      | FG timed out                | 3154 / 12 / 1850     | 2770 / 12 / 1850     | 8460 / 12 / 4779        | 3.2 / 1.97 / 0.93         | PreProc-ed 2 rounds            | 0.12 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2018_add20y.sat                                                | Preproc Solved, FG skipped. | 616 / 1 / 615        | 573 / 1 / 572        | 1651 / 3 / 1647         | 1.32 / 0.9 / 0.37         | PreProc-ed 7 rounds            |                   |                    |                  |                               |                              |                                                         |            
QBFEval2017_sdlx-fixpoint-2                                           | FG timed out                | 2897 / 0 / 2487      | 2708 / 0 / 2487      | 8512 / 0 / 6382         | 4.75 / 3.26 / 1.25        | PreProc-ed 4 rounds            | 0.05 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_stmt41_262_275                                            | MUS timed out               | 1121 / 48 / 877      | 941 / 38 / 784       | 3624 / 104 / 2631       | 5.51 / 3.72 / 1.56        | PreProc-ed 11 rounds           | 0.02 sec          | 3 / 3 / 0.845258   | 0.01 sec         | 4 iters, 0.11 sec, ONE        | MUS TimedOut after 0 rounds  |                                                         | 10.0       
Disjunctive_Decomposition_pdtpmssfeistel_all_bit_differing_from_cycle | FG timed out                | 3138 / 4 / 934       | 2383 / 4 / 934       | 11074 / 9 / 1322        | 5.03 / 3.16 / 1.53        | PreProc-ed 2 rounds            | 0.33 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_mult_bool_matrix_dyn_7_7.sat                              | FG timed out                | 5649 / 6 / 5035      | 5577 / 6 / 5035      | 16676 / 1942 / 11410    | 5.11 / 3.7 / 1.07         | PreProc-ed 3 rounds            | 0.11 sec          | 24 / 8 / 9.33402   | 0.04 sec         |                               |                              |                                                         | 10.0       
QBFEval2017_stmt85_300_399                                            | FG timed out                | 5471 / 7 / 3754      | 5191 / 7 / 3710      | 18479 / 31 / 10211      | 17.64 / 11.62 / 4.93      | PreProc-ed 7 rounds            | 0.37 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_query36_query25_1344n                                     | MUS timed out               | 891 / 3 / 625        | 825 / 3 / 625        | 1973 / 3 / 595          | 2.7 / 1.88 / 0.7          | PreProc-ed 4 rounds            | 0.03 sec          | 24 / 4 / 7.96355   | 0.04 sec         | 4 iters, 1.43 sec, ONE        | MUS TimedOut after 0 rounds  |                                                         | 10.0       
QBFEval2017_small-seq-fixpoint-10                                     | FG timed out                | 31192 / 19 / 17285   | 28970 / 19 / 17285   | 100301 / 57 / 35955     | 9.88 / 5.16 / 2.21        | PreProc-ed 2 rounds            |                   |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_sortnetsort9.AE.stepl.004                                 | FG timed out                | 3231 / 144 / 761     | 2639 / 144 / 761     | 5398 / 144 / 900        | 3.48 / 2.52 / 0.74        | PreProc-ed 2 rounds            | 1.02 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_rankfunc54_unsigned_64                                    | Preproc Solved, FG skipped. | 5266 / 22 / 5244     | 4754 / 22 / 4732     | 13886 / 22 / 13863      | 1.94 / 1.24 / 0.52        | PreProc-ed 1 rounds            |                   |                    |                  |                               |                              |                                                         |            
QBFEval2017_eequery_query64_1344n                                     | MUS timed out               | 968 / 3 / 599        | 869 / 3 / 599        | 2133 / 3 / 542          | 1.63 / 1.06 / 0.37        | PreProc-ed 2 rounds            | 0.03 sec          | 19 / 5 / 4.79648   | 0.04 sec         | 5 iters, 1.12 sec, ONE        | MUS TimedOut after 0 rounds  |                                                         | 10.0       
Disjunctive_Decomposition_bobtuint10neg_all_bit_differing_from_cycle  | FG timed out                | 1393 / 4 / 615       | 1181 / 4 / 615       | 4507 / 10 / 1124        | 3.82 / 2.69 / 0.93        | PreProc-ed 3 rounds            | 0.07 sec          |                    |                  |                               |                              |                                                         | 10.0       
Arithmetic_equalization32                                             | Preproc Solved, FG skipped. | 457 / 43 / 414       | 393 / 43 / 350       | 1402 / 128 / 1273       | 0.53 / 0.4 / 0.1          | PreProc-ed 1 rounds            |                   |                    |                  |                               |                              |                                                         |            
QBFEval2017_pdtpmsrotate32                                            | Preproc Solved, FG skipped. | 591 / 4 / 587        | 461 / 4 / 457        | 1893 / 10 / 1882        | 0.38 / 0.28 / 0.08        | PreProc-ed 1 rounds            |                   |                    |                  |                               |                              |                                                         |            
