Name                                                                  | Status                                              | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time         | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status                     | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2017_small-swap1-fixpoint-6                                    | MUS timed out                                       | 1878 / 0 / 1050     | 1458 / 0 / 1050     | 5335 / 0 / 3230      | 2.8 / 0.58 / 1.48      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_stmt19_368_417                                            | MUS timed out                                       | 5947 / 6 / 4255     | 5666 / 6 / 4209     | 20370 / 24 / 12302   | 7.4 / 2.89 / 2.47      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_stmt17_78_94                                              | MUS timed out                                       | 11134 / 67 / 8911   | 10626 / 34 / 8754   | 43580 / 69 / 31239   | 11.97 / 2.28 / 5.29    | PreProc-ed 3 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_stmt19_71_95                                              | MUS timed out                                       | 10264 / 67 / 8280   | 9756 / 34 / 8123    | 40046 / 69 / 29016   | 10.85 / 2.04 / 4.84    | PreProc-ed 3 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_query58_query42_1344n                                     | MUS timed out                                       | 3559 / 0 / 2042     | 3423 / 0 / 2042     | 12636 / 0 / 1984     | 4.77 / 1.35 / 2.03     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
Disjunctive_Decomposition_bobtuint11neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped.                         | 1415 / 0 / 1415     | 1203 / 0 / 1203     | 4588 / 0 / 4587      | 0.2 / 0.0 / 0.15       | PreProc-ed 1 rounds           |                   |                    |                  |                |                                |                                                         |            
QBFEval2018_reachqu_query42_1344n                                     | MUS timed out                                       | 8987 / 0 / 5530     | 8807 / 0 / 5530     | 42390 / 0 / 5362     | 19.18 / 5.04 / 8.61    | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_query64_query42_1344n                                     | MUS timed out                                       | 1426 / 0 / 918      | 1328 / 0 / 918      | 3423 / 0 / 883       | 3.12 / 1.52 / 0.93     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_stmt21_84_215                                             | MUS timed out                                       | 2144 / 0 / 1419     | 1968 / 0 / 1390     | 6912 / 0 / 3836      | 2.04 / 0.97 / 0.63     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_stmt19_302_352                                            | MUS timed out                                       | 5227 / 4 / 3667     | 4967 / 4 / 3627     | 17519 / 16 / 10116   | 6.7 / 3.02 / 2.01      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_query33_query45_1344n                                     | MUS timed out                                       | 867 / 0 / 595       | 801 / 0 / 595       | 1895 / 0 / 559       | 1.84 / 0.86 / 0.64     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_stmt21_71_354                                             | MUS timed out                                       | 3293 / 4 / 2015     | 3033 / 4 / 1969     | 11042 / 16 / 5126    | 7.12 / 1.47 / 3.15     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_query44_query26_1344n                                     | MUS timed out                                       | 4213 / 0 / 2208     | 4045 / 0 / 2208     | 14392 / 0 / 2188     | 4.84 / 1.47 / 1.83     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_stmt41_160_235                                            | MUS timed out                                       | 2643 / 0 / 1823     | 2463 / 0 / 1796     | 8556 / 0 / 5019      | 2.61 / 0.94 / 0.97     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_rankfunc61_unsigned_64                                    | Preproc Solved, FG skipped.                         | 4298 / 0 / 4298     | 3914 / 0 / 3914     | 12134 / 0 / 12133    | 0.33 / 0.0 / 0.27      | PreProc-ed 1 rounds           |                   |                    |                  |                |                                |                                                         |            
QBFEval2017_amba4c7n.sat                                              | MUS timed out                                       | 2914 / 0 / 1116     | 2864 / 0 / 1116     | 19573 / 0 / 2771     | 5.35 / 2.1 / 1.64      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_stmt31_276_328                                            | MUS timed out                                       | 4839 / 4 / 3360     | 4595 / 4 / 3330     | 15999 / 16 / 8868    | 4.69 / 1.85 / 1.56     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
