All timings are in seconds.

nClauses      -> number of clauses in input cnf
nVars         -> number of variables in input cnf
parseTim      -> time taken to parse cnf
bddCreat      -> time taken to create bdds of clauses
mergeTim      -> time taken to merge factor and variable BDDs based on Largest Support Set input parameter
mergedFn      -> number of factors after merging
mergedVr      -> number of variables after merging
FG Creat      -> time taken to create Factor Graph from merged factors and variables
FG Iters      -> number of iterations to reach factor graph convergence
FG Conv       -> time taken to converge Factor Graph
CNF Creat     -> time taken to convert Factor Graph solution to CNF
nSoln         -> number of MUSes found by MUST that added a clause to final solution
nDisabledSets -> number of disabled sets in MUST problem space due to MUSes that satisfied Factor Graph
numMus        -> total number of MUSes found
exploreTime   -> time spent by mustool finding MUSes
mucProcTime   -> time spent processing MUSes
done          -> whether processing finished (Y) or timed out (<blank>)
case name     -> test case name


nClauses | nVars    | parseTim | bddCreat | mergeTim | mergedFn | mergedVr | FG Creat | FG Iters | FG Conv  | CNF Creat| nSoln    | nDisabledSets    | numMus   | exploreTime | mucProcTime | done | case name
   13438 |     4639 |     0.02 |     2.95 |   116.02 |      430 |      147 |     0.24 |        3 |     0.11 |     3.79 |          |                  |          |       0.000 |       0.000 |      | ctrl.e#1.a#3.E#112.A#48.c#.w#5.s#27.asp.qdimacs
    3271 |     1298 |     0.00 |     0.12 |     4.90 |      141 |       41 |     0.02 |        3 |     0.02 |     0.32 |          |                  |          |       0.000 |       0.000 |      | rankfunc60_unsigned_32.qdimacs
   47313 |    15883 |     0.06 |    45.04 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | sdlx-fixpoint-9.qdimacs
   45347 |    11569 |     0.05 |    19.83 |   887.95 |      985 |      369 |     2.81 |        5 |     0.32 |    27.87 |          |                  |          |       0.000 |       0.000 |      | stmt17_78_98.qdimacs
    5379 |     1881 |     0.01 |     0.28 |    10.92 |      224 |       58 |     0.04 |        3 |     0.04 |     0.65 |          |                  |          |       0.000 |       0.000 |      | small-swap2-fixpoint-6.qdimacs
    1895 |      665 |     0.00 |     0.03 |     1.45 |       68 |       23 |     0.03 |        3 |     0.01 |     0.04 |          |                  |          |       0.000 |       0.000 |      | small-dyn-partition-fixpoint-6.qdimacs
   11042 |     3293 |     0.01 |     1.25 |    53.23 |      238 |      105 |     0.12 |        4 |     0.10 |     2.05 |          |                  |          |       0.000 |       0.000 |      | stmt21_71_354.qdimacs
  412621 |   132561 |     0.51 |     0.00 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | AR-fixpoint-2.qdimacs
    1987 |      730 |     0.00 |     0.04 |     2.26 |      110 |       26 |     0.02 |        6 |     0.03 |     0.17 |        2 |                  |        3 |      10.072 |       0.056 |      | query02_query42_1344n.qdimacs
   52856 |    17738 |     0.06 |    50.59 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | sdlx-fixpoint-10.qdimacs
