All timings are in seconds.

nClauses      -> number of clauses in input cnf
nVars         -> number of variables in input cnf
parseTim      -> time taken to parse cnf
bddCreat      -> time taken to create bdds of clauses
mergeTim      -> time taken to merge factor and variable BDDs based on Largest Support Set input parameter
mergedFn      -> number of factors after merging
mergedVr      -> number of variables after merging
FG Creat      -> time taken to create Factor Graph from merged factors and variables
FG Iters      -> number of iterations to reach factor graph convergence
FG Conv       -> time taken to converge Factor Graph
CNF Creat     -> time taken to convert Factor Graph solution to CNF
nSoln         -> number of MUSes found by MUST that added a clause to final solution
nDisabledSets -> number of disabled sets in MUST problem space due to MUSes that satisfied Factor Graph
numMus        -> total number of MUSes found
exploreTime   -> time spent by mustool finding MUSes
mucProcTime   -> time spent processing MUSes
done          -> whether processing finished (Y) or timed out (<blank>)
case name     -> test case name


nClauses | nVars    | parseTim | bddCreat | mergeTim | mergedFn | mergedVr | FG Creat | FG Iters | FG Conv  | CNF Creat| nSoln    | nDisabledSets    | numMus   | exploreTime | mucProcTime | done | case name
    1709 |      747 |     0.00 |     0.04 |     2.22 |       97 |       24 |     0.02 |        4 |     0.03 |     0.18 |          |                  |          |       0.000 |       0.000 |    Y | query52_query25_1344n.qdimacs
   17451 |     6824 |     0.02 |     5.80 |   223.28 |      696 |      215 |     0.72 |        4 |     0.13 |     8.47 |          |                  |          |       0.000 |       0.000 |      | rankfunc41_signed_64.qdimacs
    9790 |     3363 |     0.01 |     1.57 |    59.71 |      325 |      107 |     0.13 |        3 |     0.08 |     2.17 |          |                  |          |       0.000 |       0.000 |      | ci.e#1.a#3.E#40.A#60.c#408.w#2.s#2.asp.qdimacs
   11495 |     3263 |     0.02 |     1.51 |    56.58 |      361 |      105 |     0.12 |        6 |     0.08 |     1.87 |        1 |                  |        2 |      34.589 |       0.120 |      | GuidanceService.qdimacs
    7290 |     2200 |     0.01 |     0.57 |    19.49 |      158 |       70 |     0.05 |        5 |     0.04 |     0.94 |          |                  |          |       0.000 |       0.000 |      | stmt27_93_98.qdimacs
   23169 |     7039 |     0.03 |     7.33 |   290.13 |      599 |      226 |     0.84 |        4 |     0.16 |     8.97 |          |                  |          |       0.000 |       0.000 |      | small-equiv-fixpoint-3.qdimacs
   11422 |     3364 |     0.01 |     1.42 |    56.69 |      247 |      105 |     0.13 |        4 |     0.10 |     2.09 |          |                  |          |       0.000 |       0.000 |      | stmt22_6_414.qdimacs
 2493101 |   772793 |     3.19 |     0.00 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | AR-fixpoint-10.qdimacs
   40046 |    10264 |     0.05 |    14.73 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | stmt17_62_98.qdimacs
  153101 |    52209 |     0.19 |   451.67 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | pi-bus-fixpoint-3.qdimacs
   50648 |    12874 |     0.06 |    25.49 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | stmt28_89_97.qdimacs
   36512 |     9394 |     0.04 |    12.68 |   543.38 |      728 |      302 |     1.78 |        5 |     0.25 |    18.35 |          |                  |          |       0.000 |       0.000 |      | stmt23_66_96.qdimacs
   22348 |     7632 |     0.02 |     7.41 |   299.80 |      796 |      243 |     1.02 |        6 |     0.17 |    10.42 |          |                  |          |       0.000 |       0.000 |      | cache-coherence-2-fixpoint-4.qdimacs
    4587 |     1638 |     0.00 |     0.10 |     8.03 |      199 |       46 |     0.03 |        4 |     0.03 |     0.68 |          |                  |          |       0.000 |       0.000 |      | bobtuint31neg.qdimacs
    8550 |     5121 |     0.01 |     3.82 |    91.57 |      783 |      166 |     0.28 |        4 |     0.69 |     4.42 |          |                  |          |       0.000 |       0.000 |      | sortnetsort10.AE.stepl.005.qdimacs
    6890 |     2139 |     0.01 |     0.52 |    19.05 |      149 |       70 |     0.05 |        4 |     0.05 |     0.88 |          |                  |          |       0.000 |       0.000 |      | stmt19_66_214.qdimacs
   13751 |     4106 |     0.02 |     2.23 |    89.06 |      302 |      131 |     0.22 |        5 |     0.20 |     3.26 |          |                  |          |       0.000 |       0.000 |      | stmt21_181_369.qdimacs
   11042 |     3293 |     0.01 |     1.23 |    51.15 |      238 |      105 |     0.11 |        4 |     0.09 |     1.89 |          |                  |          |       0.000 |       0.000 |      | stmt21_71_354.qdimacs
   11260 |     3326 |     0.01 |     1.37 |    53.54 |      234 |      107 |     0.11 |        5 |     0.09 |     1.97 |          |                  |          |       0.000 |       0.000 |      | stmt44_40_387.qdimacs
    2350 |      965 |     0.00 |     0.03 |     2.06 |      106 |       25 |     0.01 |        4 |     0.01 |     0.13 |          |                  |          |       0.000 |       0.000 |      | pdtpmsmiim.qdimacs
   45347 |    11569 |     0.05 |    20.80 |   865.61 |      985 |      369 |     2.89 |        5 |     0.32 |    29.61 |          |                  |          |       0.000 |       0.000 |      | stmt17_78_98.qdimacs
   11892 |     3506 |     0.01 |     1.39 |    57.89 |      249 |      112 |     0.13 |        5 |     0.09 |     2.06 |          |                  |          |       0.000 |       0.000 |      | stmt19_3_401.qdimacs
   52762 |     9823 |     0.06 |    14.32 |   911.14 |     2716 |      317 |     2.44 |        4 |     1.03 |    19.97 |        1 |                  |        2 |    1540.407 |       3.211 |      | query08_query42_1344n.qdimacs
    5335 |     1879 |     0.01 |     0.27 |    10.58 |      235 |       59 |     0.04 |        3 |     0.03 |     0.64 |          |                  |          |       0.000 |       0.000 |      | small-swap1-fixpoint-6.qdimacs
   18479 |     5471 |     0.02 |     4.10 |   162.08 |      399 |      174 |     0.37 |        4 |     0.15 |     5.53 |          |                  |          |       0.000 |       0.000 |      | stmt85_300_399.qdimacs
   18786 |    11241 |     0.02 |    19.49 |   533.49 |     1591 |      362 |     2.37 |        4 |     2.51 |    25.04 |          |                  |          |       0.000 |       0.000 |      | sortnetsort10.AE.stepl.011.qdimacs
   37384 |    12967 |     0.04 |    25.60 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | itc-b13-fixpoint-10.qdimacs
    3483 |     1366 |     0.00 |     0.09 |     4.92 |      177 |       44 |     0.02 |        4 |     0.02 |     0.42 |          |                  |          |       0.000 |       0.000 |      | small-pipeline-fixpoint-1.qdimacs
   15114 |     5280 |     0.02 |     3.33 |   123.74 |      512 |      170 |     0.30 |        4 |     0.10 |     4.77 |          |                  |          |       0.000 |       0.000 |      | rankfunc35_signed_64.qdimacs
   19598 |     6608 |     0.02 |     5.99 |   237.01 |      573 |      207 |     0.66 |        4 |     0.14 |     8.01 |          |                  |          |       0.000 |       0.000 |      | sdlx-fixpoint-4.qdimacs
    4687 |     1644 |     0.00 |     0.32 |    10.79 |      148 |       52 |     0.03 |        4 |     0.04 |     0.77 |          |                  |          |       0.000 |       0.000 |      | driver_c9y.sat.qdimacs
    1995 |      907 |     0.00 |     0.08 |     3.37 |      120 |       29 |     0.02 |        4 |     0.03 |     0.12 |          |                  |          |       0.000 |       0.000 |      | query33_query51_1344n.qdimacs
    9259 |     5525 |     0.01 |     4.29 |   114.73 |      533 |      179 |     0.38 |        4 |     0.41 |     5.69 |          |                  |          |       0.000 |       0.000 |      | sortnetsort8.AE.stepl.009.qdimacs
    1895 |      867 |     0.00 |     0.06 |     3.26 |      119 |       29 |     0.02 |        4 |     0.03 |     0.13 |          |                  |          |       0.000 |       0.000 |    Y | query33_query45_1344n.qdimacs
   38279 |     9829 |     0.05 |    14.75 |   577.07 |      753 |      316 |     1.38 |        5 |     0.25 |    17.60 |          |                  |          |       0.000 |       0.000 |      | stmt19_65_95.qdimacs
   34745 |     8959 |     0.04 |    12.30 |   508.56 |      712 |      288 |     1.57 |        6 |     0.24 |    16.71 |          |                  |          |       0.000 |       0.000 |      | stmt19_64_91.qdimacs
    1987 |      730 |     0.00 |     0.04 |     2.32 |      113 |       24 |     0.02 |        6 |     0.03 |     0.18 |        1 |                  |        2 |     372.475 |       0.055 |      | query27_query42_1344n.qdimacs
    8872 |     2742 |     0.01 |     0.90 |    32.01 |      188 |       87 |     0.08 |        4 |     0.07 |     1.20 |          |                  |          |       0.000 |       0.000 |      | stmt31_190_227.qdimacs
    6743 |     4034 |     0.00 |     2.38 |    53.96 |      451 |      129 |     0.16 |        4 |     0.20 |     2.76 |          |                  |          |       0.000 |       0.000 |      | sortnetsort9.AE.stepl.005.qdimacs
    2269 |      690 |     0.00 |     0.04 |     1.75 |       49 |       22 |     0.01 |        7 |     0.01 |     0.07 |          |                  |          |       0.000 |       0.000 |      | stmt5_731_730.qdimacs
    8760 |     3338 |     0.01 |     1.24 |    42.65 |      348 |      106 |     0.11 |        5 |     0.07 |     1.95 |          |                  |          |       0.000 |       0.000 |      | ethernet-fixpoint-1.qdimacs
    9867 |     3229 |     0.01 |     1.33 |    56.75 |      553 |      103 |     0.15 |        4 |     0.15 |     1.91 |          |                  |          |       0.000 |       0.000 |      | query21_query58_1344n.qdimacs
    3116 |     1136 |     0.00 |     0.05 |     3.87 |       95 |       35 |     0.02 |       73 |     0.05 |     0.22 |          |                  |          |       0.000 |       0.000 |      | floor128.qdimacs
   11250 |     3381 |     0.01 |     1.51 |    63.58 |      627 |      109 |     0.17 |        4 |     0.17 |     2.01 |          |                  |          |       0.000 |       0.000 |      | query06_query42_1344n.qdimacs
    9214 |     3247 |     0.01 |     1.31 |    49.76 |      313 |      106 |     0.12 |        4 |     0.08 |     1.92 |          |                  |          |       0.000 |       0.000 |      | ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#26.asp.qdimacs
    1785 |      620 |     0.00 |     0.03 |     1.19 |       68 |       20 |     0.01 |        3 |     0.01 |     0.10 |          |                  |          |       0.000 |       0.000 |      | small-synabs-fixpoint-3.qdimacs
    8947 |     3264 |     0.01 |     1.00 |    37.16 |      462 |      103 |     0.11 |        4 |     0.04 |     1.81 |          |                  |          |       0.000 |       0.000 |      | small-pipeline-fixpoint-2.qdimacs
    6475 |     1381 |     0.01 |     0.24 |    18.05 |      164 |       44 |     0.03 |        4 |     0.06 |     0.58 |          |                  |          |       0.000 |       0.000 |      | amba2c7n.sat.qdimacs
   17651 |     4841 |     0.02 |     3.57 |   140.02 |      562 |      157 |     0.31 |        5 |     0.34 |     4.27 |          |                  |          |       0.000 |       0.000 |      | ConcreteActivityService.qdimacs
   89841 |    27964 |     0.12 |   130.03 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | small-seq-fixpoint-9.qdimacs
   44466 |    15107 |     0.05 |    35.73 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | mult_bool_matrix_10_9_11.sat.qdimacs
   15999 |     4839 |     0.02 |     3.31 |   121.14 |      361 |      153 |     0.39 |        4 |     0.13 |     4.19 |          |                  |          |       0.000 |       0.000 |      | stmt31_276_328.qdimacs
   34745 |     8959 |     0.04 |    11.95 |   467.63 |      717 |      281 |     1.17 |        4 |     0.23 |    15.31 |          |                  |          |       0.000 |       0.000 |      | stmt17_70_82.qdimacs
    6782 |     4038 |     0.01 |     2.39 |    58.99 |      416 |      130 |     0.18 |        4 |     0.35 |     2.79 |        1 |                  |        2 |    3628.320 |       1.107 |      | sortnetsort7.AE.stepl.009.qdimacs
   10952 |     3221 |     0.01 |     1.49 |    61.41 |      629 |      106 |     0.16 |        4 |     0.15 |     1.80 |        1 |                  |        2 |      27.807 |       0.132 |      | query07_query42_1344n.qdimacs
   36512 |     9394 |     0.05 |    13.19 |   519.91 |      717 |      302 |     1.45 |        5 |     0.24 |    16.37 |          |                  |          |       0.000 |       0.000 |      | stmt23_67_92.qdimacs
   15787 |     5675 |     0.02 |     4.03 |   195.41 |      466 |      186 |     0.33 |        4 |     0.15 |     5.57 |          |                  |          |       0.000 |       0.000 |      | driver_b8n.sat.qdimacs
    9739 |     2937 |     0.01 |     1.02 |    39.02 |      221 |       94 |     0.10 |        4 |     0.07 |     1.61 |          |                  |          |       0.000 |       0.000 |      | stmt31_22_328.qdimacs
   20255 |     6934 |     0.02 |     6.39 |   296.23 |      629 |      222 |     0.52 |        4 |     0.13 |     8.14 |          |                  |          |       0.000 |       0.000 |      | bs128y.sat.qdimacs
    5398 |     3231 |     0.00 |     1.39 |    34.33 |      336 |      104 |     0.11 |        4 |     0.32 |     1.75 |          |                  |          |       0.000 |       0.000 |      | sortnetsort9.AE.stepl.004.qdimacs
   11938 |     3549 |     0.01 |     1.48 |    58.52 |      260 |      115 |     0.13 |        4 |     0.10 |     2.07 |          |                  |          |       0.000 |       0.000 |      | stmt21_70_369.qdimacs
   15089 |     4172 |     0.02 |     2.30 |    95.51 |      488 |      132 |     0.20 |        4 |     0.11 |     3.14 |          |                  |          |       0.000 |       0.000 |      | ActivityService.qdimacs
    6259 |     2191 |     0.01 |     0.39 |    15.09 |      258 |       70 |     0.05 |        3 |     0.04 |     0.99 |          |                  |          |       0.000 |       0.000 |      | small-swap1-fixpoint-7.qdimacs
    2910 |      930 |     0.00 |     0.07 |     2.98 |       61 |       32 |     0.01 |        7 |     0.02 |     0.22 |          |                  |          |       0.000 |       0.000 |      | stmt25_597_598.qdimacs
   40180 |     5021 |     0.05 |     4.06 |   352.06 |     2217 |      165 |     0.80 |        4 |     0.91 |     5.46 |          |                  |          |       0.000 |       0.000 |      | query42_query45_1344n.qdimacs
   38279 |     9829 |     0.04 |    14.14 |   614.83 |      742 |      317 |     1.93 |        5 |     0.26 |    19.61 |          |                  |          |       0.000 |       0.000 |      | stmt19_79_83.qdimacs
  611497 |   218792 |     0.74 |     0.00 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | 6s289rb05233_c0to63.sat.qdimacs
   17834 |     6212 |     0.02 |     5.05 |   213.43 |      559 |      196 |     0.55 |        8 |     0.13 |     7.11 |          |                  |          |       0.000 |       0.000 |      | itc-b13-fixpoint-5.qdimacs
    1100 |      180 |     0.00 |     0.01 |     1.49 |      186 |        6 |     0.03 |        1 |     0.01 |     0.01 |          |                  |          |       0.000 |       0.000 |      | Q_2-3_v-80-100_r-11.3.qdimacs
   34745 |     8959 |     0.04 |    12.90 |   534.22 |      709 |      291 |     1.63 |        6 |     0.24 |    15.96 |          |                  |          |       0.000 |       0.000 |      | stmt19_65_87.qdimacs
    2435 |     1034 |     0.00 |     0.07 |     4.26 |      150 |       33 |     0.02 |        6 |     0.03 |     0.16 |          |                  |          |       0.000 |       0.000 |      | query51_query42_1344n.qdimacs
   24635 |     8435 |     0.03 |     9.15 |   368.85 |     1071 |      271 |     1.21 |        6 |     0.20 |    13.82 |          |                  |          |       0.000 |       0.000 |      | cache-coherence-3-fixpoint-3.qdimacs
    6104 |     2159 |     0.01 |     0.55 |    19.80 |      202 |       67 |     0.06 |        9 |     0.05 |     1.20 |          |                  |          |       0.000 |       0.000 |      | itc-b13-fixpoint-2.qdimacs
   12134 |     4301 |     0.02 |     2.23 |    80.32 |      525 |      137 |     0.21 |        4 |     0.08 |     3.31 |          |                  |          |       0.000 |       0.000 |      | rankfunc61_unsigned_64.qdimacs
   10763 |     4118 |     0.01 |     1.89 |    68.46 |      440 |      130 |     0.17 |        4 |     0.08 |     3.01 |          |                  |          |       0.000 |       0.000 |      | rankfunc58_unsigned_64.qdimacs
   13689 |     4057 |     0.02 |     1.90 |    80.19 |      309 |      130 |     0.18 |        4 |     0.11 |     3.05 |          |                  |          |       0.000 |       0.000 |      | stmt21_143_403.qdimacs
    1259 |      441 |     0.00 |     0.02 |     0.82 |       69 |       14 |     0.03 |        6 |     0.01 |     0.02 |          |                  |          |       0.000 |       0.000 |    Y | query04_query25_1344n.qdimacs
   29564 |    10265 |     0.04 |    14.91 |   614.39 |      858 |      329 |     2.12 |        8 |     0.22 |    20.43 |          |                  |          |       0.000 |       0.000 |      | itc-b13-fixpoint-8.qdimacs
   23758 |     8077 |     0.03 |     9.75 |   417.94 |      768 |      259 |     1.22 |        4 |     0.20 |    12.32 |          |                  |          |       0.000 |       0.000 |      | ctrl.e#1.a#3.E#110.A#48.c#.w#9.s#13.asp.qdimacs
    3861 |     1317 |     0.01 |     0.09 |     5.36 |      128 |       42 |     0.02 |        4 |     0.02 |     0.48 |          |                  |          |       0.000 |       0.000 |      | ceiling128.qdimacs
   10913 |     1627 |     0.01 |     0.35 |    72.88 |      249 |       53 |     0.04 |        4 |     0.12 |     0.49 |          |                  |          |       0.000 |       0.000 |      | amba3b5y.sat.qdimacs
   14055 |     4753 |     0.02 |     2.91 |   110.53 |      412 |      153 |     0.25 |        4 |     0.11 |     4.12 |          |                  |          |       0.000 |       0.000 |      | sdlx-fixpoint-3.qdimacs
  243053 |    89111 |     0.29 |  1396.28 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | oski3ub5i_c0to63.sat.qdimacs
    8330 |     2581 |     0.01 |     0.82 |    29.87 |      174 |       82 |     0.07 |        4 |     0.07 |     1.14 |          |                  |          |       0.000 |       0.000 |      | stmt27_149_224.qdimacs
    8304 |     2923 |     0.01 |     1.00 |    37.50 |      357 |       94 |     0.10 |        6 |     0.09 |     1.51 |          |                  |          |       0.000 |       0.000 |      | ltl2dba_C2-6_comp3_REAL.sat.qdimacs
    1989 |      732 |     0.00 |     0.04 |     2.35 |      113 |       25 |     0.02 |        6 |     0.03 |     0.14 |          |                  |          |       0.000 |       0.000 |      | query05_query42_1344n.qdimacs
   13523 |     5147 |     0.01 |     3.18 |   117.09 |      570 |      162 |     0.30 |        4 |     0.11 |     4.95 |          |                  |          |       0.000 |       0.000 |      | rankfunc59_signed_64.qdimacs
    9655 |     3532 |     0.01 |     1.58 |    54.54 |      370 |      110 |     0.14 |        4 |     0.07 |     2.21 |          |                  |          |       0.000 |       0.000 |      | rankfunc57_unsigned_64.qdimacs
   15089 |     4172 |     0.02 |     2.45 |    97.56 |      488 |      132 |     0.25 |        4 |     0.12 |     3.23 |          |                  |          |       0.000 |       0.000 |      | ActivityService2.qdimacs
   10770 |     4120 |     0.01 |     1.99 |    71.89 |      433 |      132 |     0.19 |        4 |     0.09 |     3.36 |          |                  |          |       0.000 |       0.000 |      | rankfunc58_signed_64.qdimacs
   15089 |     4172 |     0.02 |     2.45 |    98.87 |      488 |      132 |     0.20 |        4 |     0.12 |     3.13 |          |                  |          |       0.000 |       0.000 |      | PhaseService.qdimacs
   39770 |     4725 |     0.05 |     3.25 |   294.30 |     1896 |      154 |     0.62 |        4 |     0.91 |     4.58 |          |                  |          |       0.000 |       0.000 |      | nreachq_query11_1344n.qdimacs
    2439 |     1038 |     0.00 |     0.10 |     4.66 |      145 |       33 |     0.02 |        6 |     0.03 |     0.20 |          |                  |          |       0.000 |       0.000 |      | query52_query42_1344n.qdimacs
    9982 |     3427 |     0.01 |     1.63 |    64.21 |      325 |      114 |     0.14 |        3 |     0.08 |     2.33 |          |                  |          |       0.000 |       0.000 |      | ci.e#1.a#3.E#40.A#60.c#416.w#2.s#3.asp.qdimacs
   17545 |     5233 |     0.02 |     3.63 |   146.35 |      383 |      170 |     0.36 |        4 |     0.15 |     4.91 |          |                  |          |       0.000 |       0.000 |      | stmt21_310_360.qdimacs
   16146 |     5854 |     0.02 |     4.05 |   161.43 |      672 |      183 |     0.43 |        4 |     0.12 |     6.29 |          |                  |          |       0.000 |       0.000 |      | rankfunc48_signed_64.qdimacs
     298 |       95 |     0.00 |     0.00 |     0.03 |       12 |        4 |     0.00 |        6 |     0.01 |     0.00 |       70 |            18316 |      178 |       6.514 |       0.160 |    Y | factorization8.qdimacs
   17368 |     5177 |     0.02 |     3.72 |   142.08 |      379 |      165 |     0.31 |        4 |     0.14 |     4.85 |          |                  |          |       0.000 |       0.000 |      | stmt41_286_385.qdimacs
     714 |      219 |     0.00 |     0.01 |     0.16 |       24 |        7 |     0.01 |       13 |     0.02 |     0.01 |     1084 |         19307384 |     4281 |    3991.155 |      45.347 |    Y | factorization12.qdimacs
   10629 |     3921 |     0.01 |     1.76 |    64.45 |      403 |      121 |     0.15 |        4 |     0.07 |     2.65 |          |                  |          |       0.000 |       0.000 |      | rankfunc52_signed_64.qdimacs
  243053 |    89111 |     0.29 |  1350.22 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | oski3ub5i_c0to255.sat.qdimacs
    3154 |     1146 |     0.00 |     0.06 |     4.06 |       97 |       38 |     0.02 |       55 |     0.04 |     0.28 |          |                  |          |       0.000 |       0.000 |      | decomposition128.qdimacs
     916 |      319 |     0.00 |     0.01 |     0.29 |       35 |       10 |     0.01 |        4 |     0.01 |     0.03 |          |                  |          |       0.000 |       0.000 |      | intermediate32.qdimacs
    7753 |     2639 |     0.01 |     0.56 |    23.50 |      265 |       84 |     0.06 |        3 |     0.03 |     1.63 |          |                  |          |       0.000 |       0.000 |      | ceiling256.qdimacs
    3132 |     1147 |     0.00 |     0.07 |     4.02 |      108 |       38 |     0.02 |       77 |     0.04 |     0.25 |          |                  |          |       0.000 |       0.000 |      | subtraction128.qdimacs
    1548 |      566 |     0.00 |     0.01 |     0.86 |       55 |       19 |     0.01 |       41 |     0.02 |     0.04 |          |                  |          |       0.000 |       0.000 |      | floor64.qdimacs
     760 |      279 |     0.00 |     0.01 |     0.18 |       25 |        9 |     0.01 |       17 |     0.01 |     0.01 |          |                  |          |       0.000 |       0.000 |      | floor32.qdimacs
    3700 |     1279 |     0.01 |     0.09 |     5.36 |      139 |       39 |     0.02 |        4 |     0.02 |     0.45 |          |                  |          |       0.000 |       0.000 |      | intermediate128.qdimacs
    9577 |     3253 |     0.01 |     0.50 |    32.46 |      476 |      102 |     0.10 |        4 |     0.05 |     2.01 |        4 |               57 |        7 |      25.473 |       0.356 |      | min512.qdimacs
    3116 |     1136 |     0.00 |     0.07 |     3.94 |       95 |       35 |     0.02 |       73 |     0.05 |     0.25 |          |                  |          |       0.000 |       0.000 |      | floor128.qdimacs
    2793 |      907 |     0.00 |     0.04 |     2.86 |       86 |       29 |     0.01 |       55 |     0.02 |     0.12 |          |                  |          |       0.000 |       0.000 |      | equalization64.qdimacs
   25180 |     9172 |     0.03 |     6.04 |   351.73 |      786 |      298 |     1.15 |      495 |     0.46 |    16.95 |          |                  |          |       0.000 |       0.000 |      | floor1024.qdimacs
     617 |      213 |     0.00 |     0.00 |     0.12 |       28 |        7 |     0.00 |        5 |     0.00 |     0.01 |      143 |        143039235 |      696 |     967.200 |     289.430 |      | min32.qdimacs
     762 |      283 |     0.00 |     0.01 |     0.18 |       25 |        9 |     0.01 |       15 |     0.01 |     0.01 |          |                  |          |       0.000 |       0.000 |      | subtraction32.qdimacs
   12612 |     4603 |     0.02 |     1.70 |    76.99 |      450 |      148 |     0.18 |      349 |     0.41 |     3.73 |          |                  |          |       0.000 |       0.000 |      | subtraction512.qdimacs
   12682 |     4590 |     0.02 |     1.70 |    93.17 |      389 |      145 |     0.20 |      225 |     0.20 |     3.97 |          |                  |          |       0.000 |       0.000 |      | decomposition512.qdimacs
    1913 |      655 |     0.00 |     0.02 |     1.26 |       63 |       22 |     0.01 |        4 |     0.01 |     0.08 |          |                  |          |       0.000 |       0.000 |      | ceiling64.qdimacs
    2815 |     1274 |     0.00 |     0.04 |     2.71 |      126 |       30 |     0.01 |        3 |     0.02 |     0.27 |          |                  |          |       0.000 |       0.000 |      | bobsmhdlc3_all_bit_differing_from_cycle.qdimacs
    4588 |     1636 |     0.00 |     0.11 |     7.80 |      196 |       44 |     0.03 |        4 |     0.03 |     0.70 |          |                  |          |       0.000 |       0.000 |      | bobtuint13neg_all_bit_differing_from_cycle.qdimacs
    4597 |     1636 |     0.01 |     0.10 |     7.95 |      201 |       48 |     0.03 |        4 |     0.04 |     0.70 |          |                  |          |       0.000 |       0.000 |      | bobtuint28neg_all_bit_differing_from_cycle.qdimacs
   44532 |    15548 |     0.06 |    16.32 |   825.28 |     1697 |      408 |     2.39 |        3 |     0.23 |    52.26 |          |                  |          |       0.000 |       0.000 |      | neclaftp3001_all_bit_differing_from_cycle.qdimacs
    4652 |     1657 |     0.01 |     0.13 |     8.47 |      209 |       45 |     0.03 |        4 |     0.03 |     0.75 |          |                  |          |       0.000 |       0.000 |      | bobtuint08neg_all_bit_differing_from_cycle.qdimacs
   10130 |     2879 |     0.01 |     1.11 |    39.31 |      339 |       88 |     0.08 |        4 |     0.05 |     1.58 |          |                  |          |       0.000 |       0.000 |      | bobsynthetic_all_bit_differing_from_cycle.qdimacs
   22940 |    10904 |     0.03 |     3.42 |   219.86 |     1046 |      241 |     0.59 |        4 |     0.15 |    23.28 |          |                  |          |       0.000 |       0.000 |      | bobsynth01neg_all_bit_differing_from_cycle.qdimacs
    4587 |     1638 |     0.01 |     0.12 |     8.18 |      195 |       47 |     0.03 |        4 |     0.04 |     0.73 |          |                  |          |       0.000 |       0.000 |      | bobtuint31neg_all_bit_differing_from_cycle.qdimacs
    4588 |     1636 |     0.00 |     0.11 |     7.96 |      196 |       44 |     0.03 |        4 |     0.03 |     0.69 |          |                  |          |       0.000 |       0.000 |      | bobtuint06neg_all_bit_differing_from_cycle.qdimacs
   59562 |    15280 |     0.08 |    31.07 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | bobsmfpu_all_bit_differing_from_cycle.qdimacs
    4588 |     1636 |     0.01 |     0.10 |     8.22 |      196 |       44 |     0.02 |        4 |     0.03 |     0.70 |          |                  |          |       0.000 |       0.000 |      | bobtuint17neg_all_bit_differing_from_cycle.qdimacs
   22940 |    10904 |     0.03 |     3.33 |   224.04 |     1046 |      241 |     0.60 |        4 |     0.14 |    23.13 |          |                  |          |       0.000 |       0.000 |      | bobsynth08neg_all_bit_differing_from_cycle.qdimacs
    4588 |     1636 |     0.00 |     0.11 |     7.78 |      196 |       44 |     0.02 |        4 |     0.03 |     0.72 |          |                  |          |       0.000 |       0.000 |      | bobtuint14neg_all_bit_differing_from_cycle.qdimacs
    4588 |     1636 |     0.01 |     0.10 |     7.80 |      196 |       44 |     0.02 |        4 |     0.03 |     0.72 |          |                  |          |       0.000 |       0.000 |      | bobtuintorneg_all_bit_differing_from_cycle.qdimacs
    4507 |     1614 |     0.00 |     0.11 |     7.73 |      196 |       44 |     0.03 |        4 |     0.03 |     0.66 |          |                  |          |       0.000 |       0.000 |      | bobtuint10neg_all_bit_differing_from_cycle.qdimacs
    3029 |     1293 |     0.00 |     0.04 |     3.21 |      136 |       31 |     0.02 |        4 |     0.02 |     0.30 |          |                  |          |       0.000 |       0.000 |      | bobsmhdlc2_all_bit_differing_from_cycle.qdimacs
    4588 |     1636 |     0.00 |     0.11 |     8.14 |      196 |       44 |     0.03 |        4 |     0.03 |     0.75 |          |                  |          |       0.000 |       0.000 |      | bobtuint21neg_all_bit_differing_from_cycle.qdimacs
   22940 |    10904 |     0.03 |     3.53 |   219.18 |     1046 |      241 |     0.54 |        4 |     0.14 |    22.04 |          |                  |          |       0.000 |       0.000 |      | bobsynth04neg_all_bit_differing_from_cycle.qdimacs
   22773 |    10934 |     0.03 |     3.42 |   222.94 |     1059 |      246 |     0.62 |        4 |     0.15 |    22.13 |          |                  |          |       0.000 |       0.000 |      | bobsynth13neg_all_bit_differing_from_cycle.qdimacs
    3621 |     1413 |     0.00 |     0.07 |     5.47 |      164 |       39 |     0.02 |        4 |     0.02 |     0.34 |          |                  |          |       0.000 |       0.000 |      | bobtuint09neg_all_bit_differing_from_cycle.qdimacs
