Test Case                                                                                   | Return Code | Input Clauses | Input Variables | Output Clauses | Timed Out
QBFEval2017_ctrl.e#1.a#3.E#120.A#48.c#.w#3.s#3.asp_kissat_output.qdimacs                    | 0           | 2989          | 3047            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#122.A#48.c#.w#3.s#51.asp_kissat_output.qdimacs                   | 0           | 3033          | 3097            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#124.A#48.c#.w#7.s#50.asp_kissat_output.qdimacs                   | 0           | 9845          | 7115            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#1.asp_kissat_output.qdimacs                    | 0           | 3184          | 3247            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#17.asp_kissat_output.qdimacs                   | 0           | 3206          | 3247            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#26.asp_kissat_output.qdimacs                   | 0           | 3189          | 3247            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#60.asp_kissat_output.qdimacs                   | 0           | 3171          | 3247            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#5.s#1.asp_kissat_output.qdimacs                    | 0           | 6342          | 5295            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#5.s#60.asp_kissat_output.qdimacs                   | 0           | 6362          | 5295            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#1.asp_kissat_output.qdimacs                    | 0           | 9314          | 7343            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#60.asp_kissat_output.qdimacs                   | 0           | 9327          | 7343            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#7.asp_kissat_output.qdimacs                    | 0           | 9287          | 7343            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#9.s#1.asp_kissat_output.qdimacs                    | 0           | 12260         | 9391            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#9.s#60.asp_kissat_output.qdimacs                   | 0           | 12954         | 9391            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#130.A#48.c#.w#7.s#11.asp_kissat_output.qdimacs                   | 0           | 9697          | 7457            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#134.A#48.c#.w#9.s#40.asp_kissat_output.qdimacs                   | 0           | 12848         | 9829            | 0              | Yes      
QBFEval2017_cycle_sched_12_2_1.sat_kissat_output.qdimacs                                    | 0           | 2880          | 3911            | 0              | Yes      
QBFEval2017_cycle_sched_2_10_1.sat_kissat_output.qdimacs                                    | 0           | 5391          | 4151            | 0              | Yes      
QBFEval2017_cycle_sched_4_4_2.sat_kissat_output.qdimacs                                     | 0           | 6730          | 6450            | 0              | Yes      
