Name                                                                  | Status                                             | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time          | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2017_query51_query57_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 1001 / 0 / 646      | 931 / 0 / 646       | 2391 / 0 / 627       | 2.04 / 1.15 / 0.59      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.45       
QBFEval2017_load_3c_comp_comp6_REAL.sat                               | Preproc finished unsolved, FG skipped, MUS skipped | 20155 / 0 / 12662   | 19558 / 0 / 12662   | 64800 / 0 / 26130    | 22.3 / 6.75 / 7.94      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.35       
Disjunctive_Decomposition_bobsynth01neg_all_bit_differing_from_cycle  | Preproc finished unsolved, FG skipped, MUS skipped | 7656 / 0 / 1611     | 4747 / 0 / 1611     | 22940 / 0 / 2539     | 11.87 / 4.17 / 4.23     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.17       
QBFEval2017_small-bug1-fixpoint-4                                     | Preproc Solved, FG skipped.                        | 69 / 0 / 69         | 55 / 0 / 55         | 162 / 0 / 161        | 0.05 / 0.0 / 0.03       | PreProc-ed 1 rounds           |                   |                    |                  |                |            |                                                         |            
QBFEval2018_stmt22_320_370                                            | Preproc finished unsolved, FG skipped, MUS skipped | 5306 / 6 / 3772     | 5046 / 6 / 3730     | 17907 / 24 / 10648   | 9.45 / 3.3 / 2.97       | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2017_query23_query42_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 961 / 0 / 422       | 879 / 0 / 422       | 4968 / 0 / 366       | 3.21 / 2.19 / 0.54      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_rankfunc52_unsigned_64                                    | Preproc finished unsolved, FG skipped, MUS skipped | 3917 / 0 / 2331     | 3533 / 0 / 2331     | 10621 / 0 / 5108     | 4.66 / 2.76 / 1.1       | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2018_sortnetsort8.AE.stepl.008                                 | Preproc finished unsolved, FG skipped, MUS skipped | 4913 / 0 / 1432     | 4017 / 0 / 1432     | 8232 / 0 / 1679      | 4.67 / 3.02 / 0.93      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.21       
QBFEval2017_stmt17_94_98                                              | Preproc finished unsolved, FG skipped, MUS skipped | 13309 / 67 / 10015  | 12772 / 34 / 9846   | 52415 / 69 / 33614   | 25.32 / 5.78 / 10.0     | PreProc-ed 3 rounds           |                   |                    |                  |                |            |                                                         | 0.17       
QBFEval2017_stmt28_73_97                                              | Preproc finished unsolved, FG skipped, MUS skipped | 11134 / 67 / 8803   | 10597 / 34 / 8634   | 43580 / 69 / 30692   | 20.55 / 4.17 / 8.83     | PreProc-ed 3 rounds           |                   |                    |                  |                |            |                                                         | 0.16       
