sno  clip   time         num            file
     depth  taken        soln           name
            (sec)             
---  ---    ---          ---            ---
174  75     NA           NA             6s280r_bdd.blif
175  100    NA           NA             6s280r_bdd.blif
176  200    NA           NA             6s280r_bdd.blif
177  300    NA           NA             6s280r_bdd.blif
178  400    NA           NA             6s280r_bdd.blif
179  800    NA           NA             6s280r_bdd.blif
180  1600   NA           NA             6s280r_bdd.blif
181  10     1.66865      4.70428e+1891  6s292rb037_bdd.blif
182  20     3.31652      4.70428e+1891  6s292rb037_bdd.blif
183  30     5.01366      4.70428e+1891  6s292rb037_bdd.blif
184  40     6.61689      4.70428e+1891  6s292rb037_bdd.blif
185  50     8.36698      4.70428e+1891  6s292rb037_bdd.blif
186  75     12.6002      4.70428e+1891  6s292rb037_bdd.blif
187  100    16.7687      4.70428e+1891  6s292rb037_bdd.blif
188  200    NA           NA             6s292rb037_bdd.blif
189  300    NA           NA             6s292rb037_bdd.blif
190  400    NA           NA             6s292rb037_bdd.blif
191  800    NA           NA             6s292rb037_bdd.blif
192  1600   NA           NA             6s292rb037_bdd.blif
193  10     0.3932       6.74218e+1352  6s29_bdd.blif
194  20     NA           NA             6s29_bdd.blif
195  30     NA           NA             6s29_bdd.blif
196  40     NA           NA             6s29_bdd.blif
197  50     NA           NA             6s29_bdd.blif
198  75     NA           NA             6s29_bdd.blif
199  100    NA           NA             6s29_bdd.blif
200  200    NA           NA             6s29_bdd.blif
201  300    NA           NA             6s29_bdd.blif
202  400    NA           NA             6s29_bdd.blif
203  800    NA           NA             6s29_bdd.blif
204  1600   NA           NA             6s29_bdd.blif
205  10     0.00438397   3.9402e+115    6s319r_bdd.blif
206  20     0.00842154   3.9402e+115    6s319r_bdd.blif
207  30     0.0122659    3.9402e+115    6s319r_bdd.blif
208  40     0.0177127    3.9402e+115    6s319r_bdd.blif
209  50     0.910871     3.9402e+115    6s319r_bdd.blif
210  75     NA           NA             6s319r_bdd.blif
211  100    NA           NA             6s319r_bdd.blif
212  200    NA           NA             6s319r_bdd.blif
213  300    NA           NA             6s319r_bdd.blif
214  400    NA           NA             6s319r_bdd.blif
215  800    NA           NA             6s319r_bdd.blif
216  1600   NA           NA             6s319r_bdd.blif
217  10     1.31344      7.15577e+2324  6s351rb02_bdd.blif
218  20     NA           NA             6s351rb02_bdd.blif
219  30     NA           NA             6s351rb02_bdd.blif
220  40     NA           NA             6s351rb02_bdd.blif
221  50     NA           NA             6s351rb02_bdd.blif
222  75     NA           NA             6s351rb02_bdd.blif
223  100    NA           NA             6s351rb02_bdd.blif
224  200    NA           NA             6s351rb02_bdd.blif
225  300    NA           NA             6s351rb02_bdd.blif
226  400    NA           NA             6s351rb02_bdd.blif
227  800    NA           NA             6s351rb02_bdd.blif
228  1600   NA           NA             6s351rb02_bdd.blif
229  10     1.36765      7.15577e+2324  6s351rb15_bdd.blif
230  20     NA           NA             6s351rb15_bdd.blif
231  30     NA           NA             6s351rb15_bdd.blif
232  40     NA           NA             6s351rb15_bdd.blif
233  50     NA           NA             6s351rb15_bdd.blif
234  75     NA           NA             6s351rb15_bdd.blif
235  100    NA           NA             6s351rb15_bdd.blif
236  200    NA           NA             6s351rb15_bdd.blif
237  300    NA           NA             6s351rb15_bdd.blif
238  400    NA           NA             6s351rb15_bdd.blif
239  800    NA           NA             6s351rb15_bdd.blif
240  1600   NA           NA             6s351rb15_bdd.blif
241  10     0.00466903   6.61056e+122   6s365r_bdd.blif
242  20     0.0108202    6.61056e+122   6s365r_bdd.blif
243  30     0.0135432    6.61056e+122   6s365r_bdd.blif
244  40     0.493656     6.61056e+122   6s365r_bdd.blif
245  50     NA           NA             6s365r_bdd.blif
246  75     NA           NA             6s365r_bdd.blif
247  100    NA           NA             6s365r_bdd.blif
248  200    NA           NA             6s365r_bdd.blif
249  300    NA           NA             6s365r_bdd.blif
250  400    NA           NA             6s365r_bdd.blif
251  800    NA           NA             6s365r_bdd.blif
252  1600   NA           NA             6s365r_bdd.blif
253  10     NA           NA             6s366r_bdd.blif
254  20     NA           NA             6s366r_bdd.blif
255  30     NA           NA             6s366r_bdd.blif
256  40     NA           NA             6s366r_bdd.blif
257  50     NA           NA             6s366r_bdd.blif
258  75     NA           NA             6s366r_bdd.blif
259  100    NA           NA             6s366r_bdd.blif
260  200    NA           NA             6s366r_bdd.blif
261  300    NA           NA             6s366r_bdd.blif
262  400    NA           NA             6s366r_bdd.blif
263  800    NA           NA             6s366r_bdd.blif
264  1600   NA           NA             6s366r_bdd.blif
265  10     NA           NA             6s367r_bdd.blif
266  20     NA           NA             6s367r_bdd.blif
267  30     NA           NA             6s367r_bdd.blif
268  40     NA           NA             6s367r_bdd.blif
269  50     NA           NA             6s367r_bdd.blif
270  75     NA           NA             6s367r_bdd.blif
271  100    NA           NA             6s367r_bdd.blif
272  200    NA           NA             6s367r_bdd.blif
273  300    NA           NA             6s367r_bdd.blif
274  400    NA           NA             6s367r_bdd.blif
275  800    NA           NA             6s367r_bdd.blif
276  1600   NA           NA             6s367r_bdd.blif
277  10     0.174485     9.44627e+664   6s372rb26_bdd.blif
278  20     0.340607     9.44627e+664   6s372rb26_bdd.blif
279  30     0.497086     9.44627e+664   6s372rb26_bdd.blif
280  40     0.65734      9.44627e+664   6s372rb26_bdd.blif
281  50     0.817621     9.44627e+664   6s372rb26_bdd.blif
282  75     1.20152      9.44627e+664   6s372rb26_bdd.blif
283  100    NA           NA             6s372rb26_bdd.blif
284  200    NA           NA             6s372rb26_bdd.blif
285  300    NA           NA             6s372rb26_bdd.blif
286  400    NA           NA             6s372rb26_bdd.blif
287  800    NA           NA             6s372rb26_bdd.blif
288  1600   NA           NA             6s372rb26_bdd.blif
289  10     0.0674264    1.12239e+453   6s37_bdd.blif
290  20     0.125328     1.12239e+453   6s37_bdd.blif
291  30     0.187962     1.12239e+453   6s37_bdd.blif
292  40     0.242716     1.12239e+453   6s37_bdd.blif
293  50     0.494776     1.12239e+453   6s37_bdd.blif
294  75     NA           NA             6s37_bdd.blif
295  100    NA           NA             6s37_bdd.blif
296  200    NA           NA             6s37_bdd.blif
297  300    NA           NA             6s37_bdd.blif
298  400    NA           NA             6s37_bdd.blif
299  800    NA           NA             6s37_bdd.blif
300  1600   NA           NA             6s37_bdd.blif
301  10     0.116767     5.9357e+576    6s41_bdd.blif
302  20     0.213961     5.9357e+576    6s41_bdd.blif
303  30     1.66106      5.9357e+576    6s41_bdd.blif
304  40     NA           NA             6s41_bdd.blif
305  50     NA           NA             6s41_bdd.blif
306  75     NA           NA             6s41_bdd.blif
307  100    NA           NA             6s41_bdd.blif
308  200    NA           NA             6s41_bdd.blif
309  300    NA           NA             6s41_bdd.blif
310  400    NA           NA             6s41_bdd.blif
311  800    NA           NA             6s41_bdd.blif
312  1600   NA           NA             6s41_bdd.blif
313  10     0.00497077   4.1316e+121    6s4_bdd.blif
314  20     0.00924338   4.1316e+121    6s4_bdd.blif
315  30     0.0135356    4.1316e+121    6s4_bdd.blif
316  40     0.019961     4.1316e+121    6s4_bdd.blif
317  50     0.0215675    4.1316e+121    6s4_bdd.blif
318  75     0.0322388    4.1316e+121    6s4_bdd.blif
319  100    0.0421007    4.1316e+121    6s4_bdd.blif
320  200    0.0856922    4.1316e+121    6s4_bdd.blif
321  300    NA           NA             6s4_bdd.blif
322  400    NA           NA             6s4_bdd.blif
323  800    NA           NA             6s4_bdd.blif
324  1600   NA           NA             6s4_bdd.blif
325  10     NA           NA             6s514r_bdd.blif
326  20     NA           NA             6s514r_bdd.blif
327  30     NA           NA             6s514r_bdd.blif
328  40     NA           NA             6s514r_bdd.blif
329  50     NA           NA             6s514r_bdd.blif
330  75     NA           NA             6s514r_bdd.blif
331  100    NA           NA             6s514r_bdd.blif
332  200    NA           NA             6s514r_bdd.blif
333  300    NA           NA             6s514r_bdd.blif
334  400    NA           NA             6s514r_bdd.blif
335  800    NA           NA             6s514r_bdd.blif
